date,offerId,leads,sales
2025-11-12,2,0,1
2025-11-01,1,38,0
2025-11-02,1,65,0
2025-11-03,1,51,2
2025-11-04,1,43,0
2025-11-05,1,27,0
2025-11-06,1,45,0
2025-11-07,1,46,0
2025-11-08,1,37,0
2025-11-09,1,34,0
2025-11-10,1,63,0
2025-11-11,1,74,1
2025-11-12,1,41,1
2025-11-13,1,26,0
2025-11-19,1,25,0
2025-11-20,1,60,1
2025-11-21,1,30,0
2025-11-22,1,56,0
2025-11-23,1,55,0
2025-11-24,1,53,1
2025-11-25,1,21,0
2025-11-28,1,14,0
2025-11-29,1,24,0
2025-11-30,1,14,0
2025-11-13,3,1,0
2025-11-01,4,1,0
2025-11-02,4,1,0
2025-11-03,4,1,0
2025-11-05,4,1,0
2025-11-06,4,1,0
2025-11-08,4,1,0
2025-11-09,4,1,1
2025-11-10,4,1,0
2025-11-11,4,1,0
2025-11-12,4,1,0
2025-11-13,4,1,0
2025-11-14,4,1,0
2025-11-19,4,0,1
2025-11-20,4,1,0
2025-11-23,4,1,1
2025-11-28,4,1,0
2025-11-29,4,1,0
2025-11-30,4,1,0
2025-11-05,5,1,0
2025-11-06,5,1,0
2025-11-20,5,1,0
2025-11-24,5,2,0
2025-10-01,1,6,0
2025-10-02,1,9,0
2025-10-03,1,10,0
2025-10-04,1,26,0
2025-10-05,1,23,0
2025-10-06,1,19,0
2025-10-07,1,28,0
2025-10-08,1,34,0
2025-10-09,1,30,0
2025-10-10,1,21,0
2025-10-11,1,13,0
2025-10-12,1,15,0
2025-10-13,1,20,2
2025-10-14,1,45,0
2025-10-15,1,42,0
2025-10-16,1,8,0
2025-10-24,1,19,1
2025-10-25,1,35,0
2025-10-26,1,33,1
2025-10-27,1,29,0
2025-10-28,1,33,1
2025-10-29,1,26,0
2025-10-30,1,25,0
2025-10-31,1,35,0
2025-10-01,3,1,0
2025-10-22,3,0,1
2025-10-05,4,1,0
2025-10-07,4,1,0
2025-10-08,4,1,0
2025-10-15,4,1,0
2025-10-26,4,1,0
2025-10-28,4,1,2
2025-10-30,4,1,0
2025-10-01,5,1,0
2025-10-04,5,1,0
2025-10-10,5,1,1
2025-10-15,5,1,1
2025-10-31,5,1,0
2025-09-28,2,1,0
2025-09-01,1,1,0
2025-09-02,1,7,0
2025-09-03,1,8,0
2025-09-04,1,8,0
2025-09-05,1,6,0
2025-09-06,1,4,0
2025-09-07,1,11,0
2025-09-08,1,10,0
2025-09-09,1,9,0
2025-09-10,1,15,0
2025-09-11,1,12,0
2025-09-12,1,12,0
2025-09-13,1,10,0
2025-09-14,1,13,0
2025-09-15,1,8,0
2025-09-16,1,25,0
2025-09-17,1,14,0
2025-09-18,1,11,0
2025-09-19,1,15,0
2025-09-20,1,23,0
2025-09-21,1,18,0
2025-09-22,1,35,0
2025-09-23,1,31,0
2025-09-24,1,4,0
2025-09-25,1,3,0
2025-09-26,1,2,0
2025-09-27,1,1,0
2025-09-28,1,2,0
2025-09-29,1,2,0
2025-09-30,1,1,0
2025-09-12,3,1,0
2025-09-15,5,1,0
2025-09-01,4,1,0
2025-09-04,4,1,0
2025-09-05,4,1,0
2025-09-08,4,1,0
2025-09-10,4,1,0
2025-09-11,4,1,0
2025-09-14,4,1,0
2025-09-16,4,1,0
2025-09-17,4,1,0
2025-09-20,4,1,0
2025-09-22,4,2,0
2025-09-24,4,2,0
2025-09-25,4,1,0
2025-09-29,4,1,0
2025-08-01,1,1,0
2025-08-02,1,5,0
2025-08-03,1,4,0
2025-08-04,1,6,0
2025-08-05,1,2,0
2025-08-06,1,2,0
2025-08-07,1,5,0
2025-08-08,1,3,0
2025-08-09,1,4,0
2025-08-10,1,3,0
2025-08-11,1,6,0
2025-08-12,1,7,0
2025-08-13,1,6,0
2025-08-14,1,2,0
2025-08-15,1,4,0
2025-08-16,1,2,0
2025-08-17,1,3,0
2025-08-18,1,2,0
2025-08-19,1,1,0
2025-08-20,1,5,0
2025-08-21,1,0,0
2025-08-22,1,1,0
2025-08-23,1,1,0
2025-08-24,1,1,0
2025-08-25,1,2,0
2025-08-26,1,2,0
2025-08-27,1,3,0
2025-08-28,1,2,0
2025-08-29,1,2,0
2025-08-30,1,2,0
2025-08-31,1,1,0
2025-08-17,5,1,0
2025-08-09,4,1,0
2025-08-10,4,1,0
2025-08-11,4,1,0
2025-08-13,4,1,0
2025-08-16,4,2,0
2025-08-28,4,1,0
2025-08-28,3,0,1
2025-07-16,1,1,0
2025-07-17,1,3,0
2025-07-18,1,2,0
2025-07-19,1,0,0
2025-07-20,1,2,0
2025-07-21,1,2,0
2025-07-22,1,0,0
2025-07-23,1,5,0
2025-07-24,1,1,0
2025-07-25,1,2,0
2025-07-26,1,2,0
2025-07-27,1,4,0
2025-07-28,1,8,0
2025-07-29,1,1,0
2025-07-30,1,3,0
2025-07-31,1,4,0
2025-07-18,4,1,0
2025-07-20,3,1,0
