date,platforn,amount
2025-11-01,Google ,428
2025-11-02,Google ,442
2025-11-03,Google ,498
2025-11-04,Google ,482
2025-11-05,Google ,456
2025-11-06,Google ,644
2025-11-07,Google ,424
2025-11-08,Google ,366
2025-11-09,Google ,543
2025-11-10,Google ,460
2025-11-11,Google ,475
2025-11-12,Google ,484
2025-11-13,Google ,250
2025-11-14,Google ,0
2025-11-15,Google ,0
2025-11-16,Google ,0
2025-11-17,Google ,0
2025-11-18,Google ,0
2025-11-19,Google ,382
2025-11-20,Google ,597
2025-11-21,Google ,492
2025-11-22,Google ,280
2025-11-23,Google ,213
2025-11-24,Google ,623
2025-11-25,Google ,168
2025-11-26,Google ,0
2025-11-27,Google ,0
2025-11-28,Google ,214
2025-11-29,Google ,456
2025-11-30,Google ,400
2025-11-01,Microsoft,575
2025-11-02,Microsoft,710
2025-11-03,Microsoft,858
2025-11-04,Microsoft,756
2025-11-05,Microsoft,884
2025-11-06,Microsoft,1089
2025-11-07,Microsoft,727
2025-11-08,Microsoft,577
2025-11-09,Microsoft,549
2025-11-10,Microsoft,968
2025-11-11,Microsoft,1139
2025-11-12,Microsoft,647
2025-11-13,Microsoft,200
2025-11-14,Microsoft,0
2025-11-15,Microsoft,0
2025-11-16,Microsoft,0
2025-11-17,Microsoft,0
2025-11-18,Microsoft,0
2025-11-19,Microsoft,637
2025-11-20,Microsoft,1029
2025-11-21,Microsoft,909
2025-11-22,Microsoft,771
2025-11-23,Microsoft,958
2025-11-24,Microsoft,986
2025-11-25,Microsoft,253
2025-11-26,Microsoft,0
2025-11-27,Microsoft,0
2025-11-28,Microsoft,302
2025-11-29,Microsoft,327
2025-11-30,Microsoft,390
2025-10-01,Google,353
2025-10-02,Google,333
2025-10-03,Google,291
2025-10-04,Google,162
2025-10-05,Google,97
2025-10-06,Google,367
2025-10-07,Google,397
2025-10-08,Google,581
2025-10-09,Google,254
2025-10-10,Google,493
2025-10-11,Google,237
2025-10-12,Google,456
2025-10-13,Google,120
2025-10-14,Google,414
2025-10-15,Google,529
2025-10-16,Google,0
2025-10-17,Google,0
2025-10-18,Google,0
2025-10-19,Google,0
2025-10-20,Google,0
2025-10-21,Google,0
2025-10-22,Google,0
2025-10-23,Google,0
2025-10-24,Google,487
2025-10-25,Google,189
2025-10-26,Google,407
2025-10-27,Google,513
2025-10-28,Google,457
2025-10-29,Google,445
2025-10-30,Google,468
2025-10-31,Google,471
2025-10-01,Microsoft,292
2025-10-02,Microsoft,189
2025-10-03,Microsoft,243
2025-10-04,Microsoft,533
2025-10-05,Microsoft,456
2025-10-06,Microsoft,566
2025-10-07,Microsoft,616
2025-10-08,Microsoft,768
2025-10-09,Microsoft,623
2025-10-10,Microsoft,407
2025-10-11,Microsoft,237
2025-10-12,Microsoft,170
2025-10-13,Microsoft,311
2025-10-14,Microsoft,787
2025-10-15,Microsoft,725
2025-10-16,Microsoft,220
2025-10-17,Microsoft,0
2025-10-18,Microsoft,0
2025-10-19,Microsoft,0
2025-10-20,Microsoft,0
2025-10-21,Microsoft,0
2025-10-22,Microsoft,0
2025-10-23,Microsoft,0
2025-10-24,Microsoft,371
2025-10-25,Microsoft,700
2025-10-26,Microsoft,444
2025-10-27,Microsoft,649
2025-10-28,Microsoft,658
2025-10-29,Microsoft,663
2025-10-30,Microsoft,900
2025-10-31,Microsoft,843
2025-09-01,Google,58
2025-09-02,Google,0
2025-09-03,Google,47
2025-09-04,Google,160
2025-09-05,Google,73
2025-09-06,Google,0
2025-09-07,Google,52
2025-09-08,Google,0
2025-09-09,Google,45
2025-09-10,Google,63
2025-09-11,Google,70
2025-09-12,Google,50
2025-09-13,Google,56
2025-09-14,Google,53
2025-09-15,Google,134
2025-09-16,Google,140
2025-09-17,Google,138
2025-09-18,Google,47
2025-09-19,Google,23
2025-09-20,Google,52
2025-09-21,Google,209
2025-09-22,Google,350
2025-09-23,Google,332
2025-09-24,Google,193
2025-09-25,Google,156
2025-09-26,Google,127
2025-09-27,Google,116
2025-09-28,Google,124
2025-09-29,Google,78
2025-09-30,Google,350
2025-09-01,Microsoft,60
2025-09-02,Microsoft,215
2025-09-03,Microsoft,302
2025-09-04,Microsoft,255
2025-09-05,Microsoft,303
2025-09-06,Microsoft,243
2025-09-07,Microsoft,298
2025-09-08,Microsoft,489
2025-09-09,Microsoft,362
2025-09-10,Microsoft,363
2025-09-11,Microsoft,328
2025-09-12,Microsoft,306
2025-09-13,Microsoft,146
2025-09-14,Microsoft,399
2025-09-15,Microsoft,173
2025-09-16,Microsoft,618
